-2146657097,-2145538351,-2144911379,-2143693573,-2143109061,-2141384688
-2147473746,-2145684364,-2144625952,-2143616858,-2142387806,-2141330839
12521424,12521434,12521444,12521454,12521464,12521474
-2147388813,-2145454915,-2144774887,-2143437817,-2143071817,-2141715052
-2147142512,-2145668802,-2144676854,-2144184608,-2142601820,-2141383961
12521230,12521243,12521256,12521269,12521282,12521295
12521240,12521253,12521266,12521279,12521292,12521305
12521235,12521248,12521261,12521274,12521287,12521300
12521232,12521245,12521258,12521271,12521284,12521297
-2147403187,-2145387041,-2144587493,-2143662887,-2142820559,-2141992294
12521428,12521438,12521448,12521458,12521468,12521478
-2146664284,-2146028702,-2145341970,-2143806108,-2142459144,-2142047597
-2147156886,-2145600928,-2144489460,-2143361102,-2142350562,-2141661203
12521360,12521366,12521372,12521378,12521384,12521390
-2146671471,-2145470477,-2144723985,-2143918643,-2142857803,-2141661930
-2147290817,-2145705223,-2145184363,-2144205085,-2143183549,-2141772536
-2147410374,-2145877392,-2145018084,-2143775422,-2143219218,-2141606627
-2146847213,-2146007843,-2144783559,-2144266457,-2142711977,-2141605900
-2146544727,-2145856533,-2144459673,-2144235771,-2142423475,-2142213506
12521361,12521367,12521373,12521379,12521385,12521391
-2147022955,-2145496633,-2144843133,-2143565695,-2142566151,-2141549870
-2147466559,-2146242589,-2145243937,-2143504323,-2143037723,-2141716506
-2147332628,-2146138294,-2144549034,-2143708916,-2143253312,-2141605173
-2147396000,-2145945266,-2145205478,-2143550352,-2142421900,-2141329385
-2146798215,-2146132997,-2144988297,-2143601515,-2142243555,-2142158930
-2147044516,-2145919110,-2145086330,-2143903300,-2142713552,-2141441445
-2146649910,-2146096576,-2144480788,-2143581038,-2142710402,-2141770355
12521236,12521249,12521262,12521275,12521288,12521301
-2146474168,-2145559210,-2144421214,-2144281800,-2142856228,-2141826385
-2146903398,-2146373040,-2145009412,-2143995358,-2142530482,-2141715779
12521234,12521247,12521260,12521273,12521286,12521299
-2147149699,-2146159153,-2145107445,-2144297143,-2143000479,-2142046870
12521233,12521246,12521259,12521272,12521285,12521298
-2146776654,-2145710520,-2144745100,-2144312486,-2143144730,-2141218779
12521426,12521436,12521446,12521456,12521466,12521476
-2147347002,-2146070420,-2144361640,-2143933986,-2143002054,-2141882415
-2147213071,-2145966125,-2144715313,-2144138579,-2143217643,-2141771082
12521427,12521437,12521447,12521457,12521467,12521477
-2147276443,-2145773097,-2145371757,-2143980015,-2142386231,-2141495294
12521229,12521242,12521255,12521268,12521281,12521294
-2147220258,-2145407900,-2145145904,-2144251114,-2142567726,-2141385415
12521422,12521432,12521442,12521452,12521462,12521472
-2147030142,-2145986984,-2145273724,-2143678230,-2142964810,-2142212779
-2147093514,-2145793956,-2144881592,-2143519666,-2143181974,-2141936991
12521421,12521431,12521441,12521451,12521461,12521471
12521362,12521368,12521374,12521380,12521386,12521392
-2146608099,-2145663505,-2145116117,-2144077207,-2142640639,-2141937718
12521429,12521439,12521532,12521533,12521534,12521535
-2147269256,-2146331322,-2144941166,-2143867480,-2143036148,-2141880961
12521425,12521435,12521445,12521455,12521465,12521475
-2146530353,-2145924407,-2144647067,-2144010701,-2142674733,-2141936264
12521429,12521439,12521449,12521459,12521469,12521479
-2146720469,-2146393899,-2144519247,-2143535009,-2142277649,-2142157476
-2147227445,-2145898251,-2144527919,-2143315073,-2142966385,-2142048324
-2146481355,-2146049561,-2144851805,-2143345759,-2143254887,-2141440718
-2146537540,-2146414758,-2145077658,-2144123236,-2143073392,-2141550597
12521363,12521369,12521375,12521381,12521387,12521393
12521364,12521370,12521376,12521382,12521388,12521394
12521238,12521251,12521264,12521277,12521290,12521303
-2146586538,-2146289604,-2144872920,-2143739602,-2142493238,-2142046143
-2147459372,-2145752238,-2144813346,-2143391788,-2142639064,-2142102173
-2147037329,-2145428759,-2144655739,-2143790765,-2142314893,-2141827112
12521229,12521242,12521255,12521268,12521281,12521294
-2146734843,-2146326025,-2145380429,-2143760079,-2143074967,-2141386142
-2147107888,-2145726082,-2144694198,-2143744736,-2142930716,-2142214233
-2147205884,-2145475774,-2145333298,-2144026044,-2142818984,-2142156749
-2146600912,-2146221730,-2144685526,-2143964672,-2142241980,-2141274809
-2147473746,-2145684364,-2144625952,-2143616858,-2142387806,-2141330839
-2147354189,-2145512195,-2144792231,-2144046521,-2142352137,-2141496748
-2147100701,-2146284307,-2145312183,-2143632201,-2142532057,-2141551324
-2146727656,-2145835674,-2144949838,-2143647544,-2142676308,-2141771809
-2147339815,-2145580069,-2144979625,-2143821451,-2142603395,-2141219506
-2146917772,-2146305166,-2144822018,-2144220428,-2142279224,-2141993021
12521231,12521244,12521257,12521270,12521283,12521296
-2147086327,-2146352181,-2144451001,-2143407131,-2142783315,-2141274082
12521239,12521252,12521265,12521278,12521291,12521304
-2146973957,-2145621787,-2145047871,-2143949329,-2143146305,-2142102900
-2146488542,-2145491336,-2145282396,-2143458294,-2142604970,-2142103627
-2146966770,-2146180012,-2144617280,-2143836794,-2142747646,-2141439991
-2147466559,-2146242589,-2145243937,-2143504323,-2143037723,-2141716506
12521237,12521250,12521263,12521276,12521289,12521302
-2146861587,-2145939969,-2144596165,-2143442951,-2142460719,-2141883142
-2146713282,-2145903548,-2145137232,-2143422474,-2142927566,-2141494567
-2146551914,-2146346884,-2144890264,-2143299730,-2142822134,-2141827839
-2147164073,-2146091279,-2144920051,-2143473637,-2142749221,-2141275536
-2147459372,-2145752238,-2144813346,-2143391788,-2142639064,-2142102173
-2146981144,-2146112138,-2144429886,-2144061864,-2142496388,-2141717233
-2146896211,-2145882689,-2144578821,-2143882823,-2143180399,-2142101446
-2146959583,-2145689661,-2145235265,-2143724259,-2142348987,-2141825658
-2146854400,-2145449618,-2145214150,-2143330416,-2143110636,-2141220233
-2146783841,-2146200871,-2145175691,-2143376445,-2142494813,-2141881688
-2146840026,-2145517492,-2144352968,-2144153922,-2142313318,-2141991567
12521423,12521433,12521443,12521453,12521463,12521473
-2146910585,-2145814815,-2144391427,-2144107893,-2142929141,-2141330112
-2146832839,-2146075717,-2144970953,-2144041387,-2142963235,-2141328658
-2147283630,-2146263448,-2144753772,-2144092550,-2142784890,-2142158203
-2146593725,-2145731379,-2145303511,-2143852137,-2142891897,-2141660476
-2146791028,-2145642646,-2144557706,-2143488980,-2142893472,-2141496021
-2146466981,-2146117435,-2145039199,-2144169265,-2142457569,-2142212052
-2147452185,-2146310463,-2144382755,-2144327829,-2143288981,-2141439264
