-2146609334,-2146145736,-2144662222,-2143553635,-2143261852
-2147155296,-2146120446,-2144817000,-2144095165,-2142770586
-2146932617,-2145398149,-2144704873,-2144306846,-2142727061
-2146839170,-2145642044,-2144858042,-2143327183,-2142307328
-2147097634,-2145477276,-2144340058,-2144090223,-2142603488
-2146595020,-2145451986,-2144494836,-2143583177,-2143160798
-2146817699,-2146174283,-2144606963,-2143371496,-2143204323
-2147399446,-2146310504,-2145180206,-2143839171,-2142965692
-2147169610,-2145765620,-2144984386,-2144065623,-2142871640
-2147334627,-2145844747,-2144619571,-2143849000,-2142748067
-2147083320,-2145832102,-2145221248,-2144119765,-2142502434
-2146501573,-2145695881,-2144648005,-2143652090,-2142741065
-2147191081,-2146281957,-2145235465,-2144021310,-2143023221
-2146616491,-2145968323,-2144745915,-2143538864,-2142263803
-2147061849,-2146364341,-2144970169,-2144164078,-2142350853
-2147212552,-2145749718,-2144437968,-2143976997,-2143174802
-2147305999,-2145505823,-2145333375,-2143908084,-2142545959
-2146925460,-2145575562,-2144621180,-2144321617,-2142676534
-2147291685,-2145860649,-2145165989,-2143937626,-2142444905
-2146853484,-2146335794,-2145025428,-2143297641,-2142408382
-2147449545,-2146117189,-2144717481,-2143735774,-2142270805
-2147277371,-2146215475,-2144998603,-2143967168,-2142343851
-2147090477,-2145654689,-2145304941,-2144104994,-2142552961
-2147054692,-2145493178,-2144886476,-2144178849,-2142300326
-2147442388,-2146294602,-2144633788,-2143750545,-2143268854
-2147392289,-2145439341,-2145096513,-2143853942,-2142915165
-2147284528,-2146038062,-2145082296,-2143952397,-2142394378
-2147076163,-2146009515,-2145137555,-2144134536,-2142451907
-2147263057,-2145521725,-2144831217,-2143996710,-2142242797
-2146724252,-2146418178,-2144760132,-2143440409,-2142784590
-2147420917,-2145778265,-2144382709,-2143794858,-2143117273
-2146946931,-2146091899,-2144872259,-2144277304,-2142828115
-2147428074,-2145600852,-2144466402,-2143780087,-2143167800
-2147442388,-2146294602,-2144633788,-2143750545,-2143268854
-2146975559,-2146430823,-2145207031,-2144218220,-2143030223
-2147040378,-2145848004,-2144719090,-2144208391,-2143247848
-2146630805,-2145613497,-2144913301,-2143509322,-2142364857
-2146860641,-2146158381,-2145109121,-2144331446,-2142458909
-2146738566,-2146063352,-2144927518,-2143410867,-2142885644
-2146717095,-2145547015,-2144676439,-2143455180,-2142734063
-2146688467,-2146256667,-2144341667,-2143514264,-2142531955
-2147406603,-2146133091,-2145263899,-2143824400,-2143016219
-2147047535,-2145670591,-2144802783,-2144193620,-2142249799
-2146731409,-2146240765,-2144843825,-2143425638,-2142835117
-2146702781,-2145901841,-2144509053,-2143484722,-2142633009
