-2136751330,-2135400265
-2136381251,-2135083414
10681271,10681284
-2136956942,-2134977797
-2136919558,-2135721885
10681263,10681276
10681366,10681379
-2136194331,-2135658126
-2136900866,-2135569641
10681266,10681279
-2136259753,-2135142404
-2136166293,-2135429760
-2136947596,-2134901675
10681270,10681283
-2136297137,-2135446892
-2136250407,-2135066282
-2136287791,-2135370770
-2136882174,-2135417397
10681272,10681285
-2136872828,-2135341275
-2136741984,-2135324143
-2136427981,-2135464024
-2136343867,-2135827502
-2136156947,-2135353638
-2136966288,-2135053919
-2136325175,-2135675258
10681302,10681305
10681398,10681399
-2136704600,-2135019655
10681365,10681378
10681368,10681381
-2136844790,-2135112909
-2136371905,-2135007292
10681301,10681304
-2136695254,-2134943533
-2136315829,-2135599136
-2136770022,-2135552509
10681371,10681400
10681262,10681275
-2136975634,-2135130041
-2136213023,-2135810370
-2136175639,-2135505882
10681262,10681275
-2136353213,-2135903624
-2136910212,-2135645763
10681265,10681278
-2136231715,-2134914038
10681269,10681282
-2136269099,-2135218526
-2136437327,-2135540146
-2136456019,-2135692390
-2136938250,-2135874129
10681264,10681277
-2136147601,-2135277516
-2136713946,-2135095777
10681393,10681394
-2136760676,-2135476387
10681267,10681280
-2136854136,-2135189031
-2136362559,-2134931170
-2136807406,-2135856997
-2136685908,-2135915987
10681370,10681383
-2136835444,-2135036787
-2136184985,-2135582004
-2136203677,-2135734248
10681396,10681397
-2136399943,-2135235658
-2136241061,-2134990160
-2136306483,-2135523014
-2136826098,-2134960665
-2136779368,-2135628631
-2136928904,-2135798007
10681371,10681384
-2136278445,-2135294648
-2136667216,-2135763743
10681367,10681380
-2136966288,-2135053919
-2136863482,-2135265153
10681364,10681377
10681268,10681281
10681273,10681286
-2136975634,-2135130041
-2136409289,-2135311780
-2136732638,-2135248021
-2136788714,-2135704753
-2136676562,-2135839865
-2136418635,-2135387902
-2136956942,-2134977797
-2136390597,-2135159536
-2136138255,-2135201394
-2136891520,-2135493519
-2136723292,-2135171899
-2136816752,-2135933119
-2136446673,-2135616268
10681369,10681382
-2136222369,-2135886492
-2136657870,-2135687621
-2136798060,-2135780875
-2136334521,-2135751380
