-2137465450,-2136524700,-2135074439
10195994,10196007,10196033
10196106,10196073,10196095
-2137932900,-2136824338,-2135774453
-2137631773,-2136341553,-2135325536
10196065,10196076,10196109
-2137669665,-2136840845,-2135907436
-2137661283,-2136175227,-2135366834
-2138031821,-2136308225,-2135402352
-2137865498,-2136491372,-2135151255
10195992,10196005,10196031
-2137789714,-2136541364,-2135036031
10196061,10196072,10196094
-2137065402,-2136558028,-2134997623
-2137155941,-2136424873,-2135133496
-2137812851,-2136075243,-2135597282
10195998,10196011,10196037
10196043,10196046,10196052
-2137307509,-2136324889,-2135363944
-2137827606,-2135992080,-2135617931
10196063,10196107,10196096
-2137774959,-2136624527,-2135015382
-2137450695,-2136607863,-2135053790
-2137699175,-2136674519,-2135948734
-2137012755,-2136141899,-2135443650
-2137684420,-2136757682,-2135928085
-2137337019,-2136158563,-2135405242
10196058,10196069,10196091
10196065,10196076,10196098
10196001,10196014,10196040
-2137579126,-2136974000,-2135771563
-2137050647,-2136641191,-2134976974
-2137707557,-2136291561,-2135440760
-2137503342,-2135975416,-2135656339
10195990,10196003,10196029
-2138008684,-2136774346,-2135889677
10196057,10196068,10196090
-2137751822,-2136042072,-2135502707
-2137880253,-2136408209,-2135171904
-2138031821,-2136308225,-2135402352
-2138023439,-2136691183,-2135910326
-2137722312,-2136208398,-2135461409
10196000,10196013,10196039
-2137608636,-2136807674,-2135812861
-2137918145,-2136907501,-2135753804
-2137617018,-2136424716,-2135304887
10195991,10196004,10196030
-2137360156,-2136741018,-2134917917
-2137073784,-2136175070,-2135538225
-2136998000,-2136225062,-2135423001
10196059,10196070,10196092
-2137518097,-2136940829,-2135676988
-2137541234,-2136474708,-2135189663
-2137488587,-2136058579,-2135635690
-2137126431,-2136591199,-2135092198
10195997,10196010,10196036
-2137903390,-2136990664,-2135733155
-2137246480,-2136291718,-2135269369
-2137345401,-2136824181,-2135945844
10195993,10196006,10196032
-2137842361,-2136957493,-2135638580
-2137570744,-2136308382,-2135230961
-2137760204,-2136707690,-2134994733
-2137555989,-2136391545,-2135210312
10195995,10196008,10196034
-2137216970,-2136458044,-2135228071
10196064,10196075,10196108
-2137970792,-2136275054,-2135307777
-2137254862,-2136957336,-2135809971
-2137035892,-2136724354,-2134956325
-2137179078,-2135958752,-2135694747
10195999,10196012,10196038
-2137435940,-2136691026,-2135033141
-2138008684,-2136774346,-2135889677
-2137412803,-2136108571,-2135520466
-2137993929,-2136857509,-2135869028
-2137480205,-2136441537,-2135095088
-2138023439,-2136691183,-2135910326
-2137284372,-2136791010,-2135851269
-2137398048,-2136191734,-2135499817
-2137322264,-2136241726,-2135384593
-2137956037,-2136358217,-2135287128
10195996,10196009,10196035
-2137103294,-2136008744,-2135579523
-2137193833,-2136924165,-2135715396
-2137231725,-2136374881,-2135248720
-2137269617,-2136874173,-2135830620
-2137427558,-2136025408,-2135541115
-2137088539,-2136091907,-2135558874
10196060,10196071,10196093
-2137850743,-2136574535,-2135130606
-2137593881,-2136890837,-2135792212
-2137646528,-2136258390,-2135346185
-2137141186,-2136508036,-2135112847
-2137526479,-2136557871,-2135169014
-2137374911,-2136657855,-2134938566
-2137737067,-2136125235,-2135482058
-2137941282,-2136441380,-2135266479
-2137164323,-2136041915,-2135674098
10195990,10196003,10196029
