-2144888965,-2143874225,-2142570183,-2142074143
-2144429754,-2143460810,-2142381608,-2142100350
-2144682339,-2144032615,-2143049773,-2141961785
-2144353282,-2143840946,-2142484048,-2142040406
-2144736021,-2143585921,-2142775063,-2141954255
-2145317663,-2143300819,-2142960377,-2141737069
-2144475713,-2144191005,-2142480787,-2141849427
-2144804770,-2143334098,-2143046512,-2141770806
-2144973160,-2143365776,-2143142430,-2141328904
19484957,19485007,19485017,19485027
-2144858452,-2143935980,-2142771802,-2141763276
19484954,19485004,19485014,19485024
-2145065078,-2143777590,-2142292212,-2141875634
19484822,19484887,19484900,19484913
-2145233468,-2143809268,-2142388130,-2141433732
-2144399241,-2143522565,-2142583227,-2141789483
19484816,19484829,19484790,19484842
19484952,19484962,19484932,19484972
19484822,19484835,19484796,19484848
-2145026842,-2143967658,-2142867720,-2141321374
19484956,19484966,19484936,19484976
19484820,19484885,19484898,19484911
-2144559908,-2143682556,-2143053034,-2142152764
19484958,19485008,19485018,19485028
-2144644103,-2144222683,-2142576705,-2141407525
-2145141550,-2143397454,-2143238348,-2141935578
19484815,19484880,19484893,19484906
19484951,19484961,19484931,19484971
19484819,19484884,19484897,19484910
19484958,19485056,19485018,19485057
-2145279427,-2143490887,-2142487309,-2142231385
19484825,19484890,19484903,19484916
-2145309940,-2143429132,-2142285690,-2141493676
-2144766534,-2143524166,-2142573444,-2141216546
-2144980883,-2144286039,-2142768541,-2141572297
-2144567631,-2143554243,-2142679145,-2141347581
19484816,19484881,19484894,19484907
19484814,19484827,19484788,19484840
-2144812493,-2144254361,-2142672623,-2142014199
-2145103314,-2143587522,-2142765280,-2141381318
-2144605867,-2143364175,-2143152213,-2141901841
19484823,19484836,19484797,19484849
-2144636380,-2143302420,-2142950594,-2142212708
-2145187509,-2144127649,-2142288951,-2141684655
19485031,19485036,19485037,19485038
19484824,19484889,19484902,19484915
-2145363622,-2144031014,-2143059556,-2141486146
-2145355899,-2144159327,-2142384869,-2141242753
-2144896688,-2143745912,-2143244870,-2141268960
-2144720575,-2143842547,-2142474265,-2141467469
19484958,19485052,19484938,19485053
19484956,19485006,19485016,19485026
19484821,19484886,19484899,19484912
19484956,19485045,19485046,19485047
-2144437477,-2143332497,-2143056295,-2141295167
19484823,19484888,19484901,19484914
19484814,19484827,19484788,19484840
-2144690062,-2143904302,-2142675884,-2142205178
-2145111037,-2143459209,-2142391391,-2141624711
-2144774257,-2143395853,-2143248131,-2141459939
-2144728298,-2143714234,-2143148952,-2141710862
-2144651826,-2144094370,-2143251392,-2141650918
-2145149273,-2144317717,-2142864459,-2142178971
19484955,19485041,19485042,19485043
19484817,19484882,19484895,19484908
-2144345559,-2143969259,-2142857937,-2141797013
-2144934924,-2143555844,-2142669362,-2141823220
19484818,19484883,19484896,19484909
19484825,19484838,19484799,19484851
19485031,19485032,19484934,19485033
-2145355899,-2144159327,-2142384869,-2141242753
-2144483436,-2144062692,-2143155474,-2142092820
19484818,19484831,19484792,19484844
19484955,19484965,19484935,19484975
-2145057355,-2143905903,-2142666101,-2141632241
-2145363622,-2144031014,-2143059556,-2141486146
19484814,19484879,19484892,19484905
-2144850729,-2144064293,-2143145691,-2141519883
-2144391518,-2143650878,-2142957116,-2141546090
19484957,19484967,19484937,19484977
19484957,19485048,19485049,19485050
19484954,19484964,19484934,19484974
-2144598144,-2143492488,-2142477526,-2141658448
19484821,19484834,19484795,19484847
-2145225745,-2143937581,-2142762019,-2142238915
-2144513949,-2144000937,-2142953855,-2141355111
-2145271704,-2143619200,-2142861198,-2141987992
-2144942647,-2143427531,-2142295473,-2142066613
19484817,19484830,19484791,19484843
19484955,19485005,19485015,19485025
-2144521672,-2143872624,-2142579966,-2141598504
19484820,19484833,19484794,19484846
-2145317663,-2143300819,-2142960377,-2141737069
19484958,19484968,19484938,19484978
-2145019119,-2144095971,-2143241609,-2142126557
19484824,19484837,19484798,19484850
19484815,19484828,19484789,19484841
-2144820216,-2144126048,-2142298734,-2141209016
19484819,19484832,19484793,19484845
-2145195232,-2143999336,-2142963638,-2141928048
